system:index,threshold_type,dfo_centroid_x,dfo_centroid_y,dfo_cause,gfd_area
DFO_2802_From_20060216_to_20060506,std,-79.980717,-2.231688,Heavy rain,1471.95
DFO_2815_From_20060303_to_20060323,std,114.989428,-27.409953,"Tropical Storm, Surge",3109.59
DFO_2818_From_20060312_to_20060322,std,-86.419681,38.254008,Heavy rain,1862.72
DFO_2821_From_20060320_to_20060417,std,145.536342,-17.908641,"Tropical Storm, Surge",12293.91
DFO_2823_From_20060322_to_20060602,std,-75.597465,5.434769,Heavy rain,9791.93
DFO_2825_From_20060326_to_20060330,std,24.826774,-27.439685,Heavy rain,615.94
DFO_2834_From_20060404_to_20060417,std,-120.675334,37.691104,Heavy rain,2173.66
DFO_2859_From_20060429_to_20060505,std,94.945666,18.367934,"Tropical Storm, Surge",2934.42
DFO_2867_From_20060522_to_20060611,std,100.149202,18.18105,Heavy rain,5292.64
DFO_2871_From_20060525_to_20060528,std,-88.585836,36.962812,Heavy rain,146.95
DFO_2879_From_20060531_to_20060724,std,94.024532,26.599281,Heavy rain,21448.16
DFO_2890_From_20060619_to_20060623,std,120.107435,-5.166664,Heavy rain,278.11
DFO_2894_From_20060624_to_20060803,std,83.671273,25.615074,Heavy rain,10858.69
DFO_2896_From_20060625_to_20060629,otsu,115.489611,-3.285772,Heavy rain,1061.71
DFO_2900_From_20060628_to_20060708,otsu,105.730409,28.470782,Heavy rain,8020.16
DFO_2911_From_20060704_to_20060707,otsu,71.309729,22.411409,Heavy rain,6404.96
DFO_2916_From_20060709_to_20060713,std,69.948565,33.056169,Heavy rain,14.24
DFO_2919_From_20060711_to_20060713,otsu,128.901206,47.733436,Heavy rain,10664.87
DFO_2921_From_20060711_to_20060719,std,112.108469,24.003504,"Tropical Storm, Surge",3145.7
DFO_2923_From_20060712_to_20060714,std,106.524637,50.791203,Heavy rain,1012.58
DFO_2924_From_20060714_to_20060717,otsu,106.588178,39.035519,Heavy rain,2099.9
DFO_2931_From_20060724_to_20060822,std,73.199799,34.609786,Heavy rain,5568.05
DFO_2935_From_20060728_to_20060912,std,73.824174,20.194292,Heavy rain,28468.71
DFO_2940_From_20060801_to_20060910,std,81.52884,18.104598,Heavy rain,12437.04
DFO_2947_From_20060803_to_20061011,std,-1.02134,14.421787,Heavy rain,2768.18
DFO_2948_From_20060812_to_20060902,std,106.149356,17.764156,Heavy rain,4646.76
